#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.367243	1	38	15.283380	2500
2	0.372774	1	37	14.562042	2500
3	0.371896	1	35	14.504542	2500
4	0.373076	1	35	14.499810	2500
5	0.375059	1	34	14.452291	2500
6	0.374109	1	35	14.431094	2500
7	0.375650	1	34	14.439653	2500
8	0.376126	1	34	14.406780	2500
9	0.376932	1	34	14.335223	2500
10	0.377135	1	33	14.199592	2500
11	0.380393	1	33	14.106029	2500
12	0.383837	1	32	13.956826	2500
13	0.383942	1	31	13.865540	2500
14	0.387287	1	32	13.806877	2500
15	0.388029	1	31	13.546580	2500
16	0.391547	1	30	13.395891	2500
17	0.395313	1	27	13.116440	2500
18	0.398368	1	27	12.967907	2500
19	0.403722	1	27	13.023952	2500
20	0.406116	1	26	12.845985	2500
21	0.412594	1	26	12.710659	2500
22	0.418683	1	26	12.725654	2500
23	0.423405	1	26	12.619110	2500
24	0.426904	1	25	12.350459	2500
25	0.432364	1	24	12.305877	2500
26	0.433030	1	24	12.101390	2500
27	0.432905	1	24	12.046542	2500
28	0.437243	1	24	11.951427	2500
29	0.437827	1	23	11.634394	2500
30	0.440323	1	24	11.806875	2500
