#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.334108	1	60	21.915321	2500
2	0.400107	1	44	16.864329	2500
3	0.312659	1	36	14.352406	2500
4	0.276709	1	34	13.193570	2500
5	0.259965	1	29	12.213290	2500
6	0.246305	1	27	11.590434	2500
7	0.234192	1	26	10.946440	2500
8	0.229749	1	24	10.459232	2500
9	0.218789	1	24	10.185795	2500
10	0.215089	1	24	10.011732	2500
11	0.208520	1	22	9.652711	2500
12	0.206803	1	22	9.469874	2500
13	0.206193	1	21	9.329814	2500
14	0.197079	1	20	8.846316	2500
15	0.196259	1	20	8.804272	2500
16	0.193837	1	20	8.702410	2500
17	0.190951	1	20	8.569515	2500
18	0.191981	1	19	8.533953	2500
19	0.192269	1	19	8.458100	2500
20	0.191529	1	18	8.157244	2500
21	0.188932	1	17	8.037196	2500
22	0.187806	1	18	7.925167	2500
23	0.185464	1	18	7.840712	2500
24	0.182890	1	17	7.826997	2500
25	0.183782	1	16	7.691645	2500
26	0.187763	1	16	7.710578	2500
27	0.180576	1	16	7.650668	2500
28	0.183782	1	16	7.520751	2500
29	0.182271	1	16	7.314454	2500
30	0.185557	1	15	7.208800	2500
