#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.330619	1	58	21.822295	2500
2	0.394571	1	43	16.805515	2500
3	0.310034	1	35	14.302942	2500
4	0.273450	1	31	12.962568	2500
5	0.257542	1	30	12.199372	2500
6	0.241945	1	28	11.481818	2500
7	0.225168	1	26	10.896427	2500
8	0.219765	1	26	10.483938	2500
9	0.211099	1	24	10.102399	2500
10	0.208033	1	23	9.601026	2500
11	0.206415	1	23	9.451615	2500
12	0.204003	1	21	9.089912	2500
13	0.205790	1	21	8.941744	2500
14	0.200766	1	19	8.748624	2500
15	0.202445	1	20	8.603720	2500
16	0.203371	1	20	8.676662	2500
17	0.202435	1	20	8.606476	2500
18	0.205405	1	20	8.474191	2500
19	0.201779	1	19	8.365292	2500
20	0.197605	1	18	8.128234	2500
21	0.191416	1	18	7.979362	2500
22	0.196931	1	17	7.802782	2500
23	0.195327	1	17	7.748523	2500
24	0.192363	1	18	7.632411	2500
25	0.189124	1	17	7.646804	2500
26	0.186543	1	17	7.681966	2500
27	0.188914	1	17	7.617111	2500
28	0.187389	1	16	7.630587	2500
29	0.187120	1	16	7.514292	2500
30	0.192591	1	15	7.331451	2500
