#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.332537	1	59	21.933258	2500
2	0.391241	1	44	16.599079	2500
3	0.309482	1	36	14.257556	2500
4	0.276051	1	32	12.913707	2500
5	0.247841	1	28	11.935930	2500
6	0.236077	1	27	11.035790	2500
7	0.226828	1	24	10.431949	2500
8	0.215405	1	23	9.972196	2500
9	0.210914	1	21	9.631863	2500
10	0.211416	1	21	9.280485	2500
11	0.209709	1	19	8.882205	2500
12	0.211382	1	19	8.477401	2500
13	0.210829	1	18	8.116088	2500
14	0.212575	1	17	7.693889	2500
15	0.215205	1	15	7.169255	2500
16	0.214570	1	15	6.908512	2500
17	0.218042	1	13	6.312091	2500
18	0.222258	1	12	5.997674	2500
19	0.224421	1	12	5.721822	2500
20	0.230287	1	12	5.484221	2500
21	0.234618	1	10	5.125975	2500
22	0.246191	1	10	4.826782	2500
23	0.247598	1	9	4.579648	2500
24	0.252467	1	8	4.294976	2500
25	0.252806	1	8	3.843941	2500
26	0.265208	1	7	3.623779	2500
27	0.251387	1	7	3.509073	2500
28	0.252150	1	7	3.505778	2500
29	0.261864	1	6	3.266098	2500
30	0.257757	1	6	3.318325	2500
