#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.332924	1	60	22.097540	2500
2	0.397129	1	44	16.881598	2500
3	0.316538	1	36	14.518093	2500
4	0.280711	1	33	13.378713	2500
5	0.263169	1	30	12.627780	2500
6	0.248815	1	29	11.952632	2500
7	0.238812	1	28	11.489448	2500
8	0.230861	1	27	11.141271	2500
9	0.223842	1	27	10.568609	2500
10	0.218954	1	25	10.283440	2500
11	0.216824	1	24	10.021763	2500
12	0.219937	1	24	9.913153	2500
13	0.216233	1	22	9.554302	2500
14	0.215698	1	22	9.485698	2500
15	0.208962	1	21	9.119156	2500
16	0.208811	1	20	8.986568	2500
17	0.202325	1	19	8.744136	2500
18	0.203470	1	20	8.640894	2500
19	0.207883	1	19	8.601788	2500
20	0.203059	1	18	8.434630	2500
21	0.205823	1	19	8.368569	2500
22	0.200447	1	19	8.377712	2500
23	0.197743	1	19	8.277301	2500
24	0.199933	1	18	8.169421	2500
25	0.201202	1	17	7.938635	2500
26	0.202439	1	16	7.825228	2500
27	0.197577	1	17	7.865988	2500
28	0.202045	1	17	7.735347	2500
29	0.197341	1	16	7.569534	2500
30	0.196731	1	16	7.670816	2500
