#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.033512	1	10	5.121038	2500
2	0.037525	1	9	4.786948	2500
3	0.038335	1	8	4.637639	2500
4	0.042798	1	8	4.543948	2500
5	0.046576	1	8	4.497754	2500
6	0.049204	1	7	4.457178	2500
7	0.049684	1	7	4.434465	2500
8	0.050741	1	7	4.415400	2500
9	0.053779	1	7	4.396778	2500
10	0.053632	1	7	4.377269	2500
11	0.053990	1	7	4.362388	2500
12	0.054522	1	7	4.362873	2500
13	0.049818	1	7	4.352105	2500
14	0.049552	1	7	4.347597	2500
15	0.052373	1	7	4.342808	2500
16	0.054982	1	7	4.346245	2500
17	0.055381	1	7	4.345851	2500
18	0.055923	1	7	4.355944	2500
19	0.053250	1	7	4.340883	2500
20	0.052048	1	7	4.339544	2500
21	0.050250	1	7	4.332835	2500
22	0.051085	1	7	4.331157	2500
23	0.051966	1	7	4.333544	2500
24	0.053244	1	7	4.342103	2500
25	0.055937	1	7	4.339099	2500
26	0.056388	1	7	4.336595	2500
27	0.056346	1	7	4.336678	2500
28	0.057641	1	7	4.334327	2500
29	0.056645	1	7	4.338094	2500
30	0.054323	1	7	4.325765	2500
