#cicle	avCl	components	diam	aspl	order
0	0.000000	1	98	33.333333	2500
1	0.035558	1	10	5.102172	2500
2	0.040692	1	9	4.779259	2500
3	0.042655	1	8	4.627570	2500
4	0.047365	1	8	4.560880	2500
5	0.050428	1	8	4.510335	2500
6	0.049111	1	7	4.464650	2500
7	0.053781	1	7	4.441046	2500
8	0.058740	1	7	4.423200	2500
9	0.057620	1	7	4.414600	2500
10	0.056631	1	7	4.398783	2500
11	0.054132	1	7	4.390476	2500
12	0.056018	1	7	4.377740	2500
13	0.058007	1	7	4.380234	2500
14	0.058936	1	7	4.378776	2500
15	0.057735	1	7	4.371490	2500
16	0.055258	1	7	4.362044	2500
17	0.055956	1	7	4.362696	2500
18	0.057423	1	7	4.359479	2500
19	0.055965	1	7	4.355978	2500
20	0.056461	1	7	4.359826	2500
21	0.054514	1	7	4.361335	2500
22	0.054812	1	7	4.356936	2500
23	0.055595	1	7	4.360748	2500
24	0.059108	1	7	4.349443	2500
25	0.056887	1	7	4.343964	2500
26	0.056482	1	7	4.342282	2500
27	0.056094	1	7	4.343879	2500
28	0.057203	1	7	4.349515	2500
29	0.055060	1	7	4.339948	2500
30	0.056725	1	7	4.338691	2500
